ds,y
4/26/2014,1109
4/27/2014,1281
4/28/2014,3874
4/29/2014,3515
4/30/2014,3655
05/01/2014,3593
05/02/2014,3265
05/03/2014,922
05/04/2014,844
05/05/2014,1062
05/06/2014,4608
05/07/2014,3968
05/08/2014,3921
05/09/2014,3437
05/10/2014,1265
05/11/2014,1218
05/12/2014,4218
5/13/2014,3952
5/14/2014,3530
5/15/2014,3452
5/16/2014,2859
5/17/2014,1031
5/18/2014,844
5/19/2014,3952
5/20/2014,3843
5/21/2014,3562
5/22/2014,3390
5/23/2014,2999
5/24/2014,1140
5/25/2014,812
5/26/2014,1125
5/27/2014,3655
5/28/2014,3671
5/29/2014,3530
5/30/2014,3155
5/31/2014,1078
06/01/2014,984
06/02/2014,4046
06/03/2014,3921
06/04/2014,3624
06/05/2014,3640
06/06/2014,3124
06/07/2014,1703
06/08/2014,1109
06/09/2014,4140
06/10/2014,3874
06/11/2014,3796
06/12/2014,3562
6/13/2014,2999
6/14/2014,1093
6/15/2014,1203
6/16/2014,3749
6/17/2014,3530
6/18/2014,3296
6/19/2014,3312
6/20/2014,2718
6/21/2014,984
6/22/2014,890
6/23/2014,3640
6/24/2014,3452
6/25/2014,3343
6/26/2014,3296
6/27/2014,3093
6/28/2014,1031
6/29/2014,984
6/30/2014,3843
07/01/2014,3577
07/02/2014,3234
07/03/2014,3155
07/04/2014,2999
07/05/2014,1000
07/06/2014,1047
07/07/2014,3687
07/08/2014,3515
07/09/2014,3405
07/10/2014,3312
07/11/2014,3015
07/12/2014,1062
7/13/2014,937
7/14/2014,3515
7/15/2014,3874
7/16/2014,3499
7/17/2014,3218
7/18/2014,2531
7/19/2014,1093
7/20/2014,1047
7/21/2014,3608
7/22/2014,3530
7/23/2014,3124
7/24/2014,3077
7/25/2014,2593
7/26/2014,1062
7/27/2014,1109
7/28/2014,3530
7/29/2014,3296
7/30/2014,3077
7/31/2014,3109
08/01/2014,2765
08/02/2014,1109
08/03/2014,1015
08/04/2014,3546
08/05/2014,3515
08/06/2014,3343
08/07/2014,3405
08/08/2014,2718
08/09/2014,1015
08/10/2014,1078
08/11/2014,3640
08/12/2014,3312
8/13/2014,3312
8/14/2014,3280
8/15/2014,2937
8/16/2014,1078
8/17/2014,984
8/18/2014,3968
8/19/2014,3421
8/20/2014,3515
8/21/2014,3280
8/22/2014,2921
8/23/2014,906
8/24/2014,750
8/25/2014,1140
8/26/2014,3811
8/27/2014,3358
8/28/2014,3343
8/29/2014,2905
8/30/2014,1062
8/31/2014,1047
09/01/2014,3671
09/02/2014,3874
09/03/2014,3718
09/04/2014,3483
09/05/2014,3343
09/06/2014,1343
09/07/2014,1093
09/08/2014,3687
09/09/2014,3858
09/10/2014,3499
09/11/2014,3468
09/12/2014,3280
9/13/2014,1250
9/14/2014,1140
9/15/2014,4093
9/16/2014,3624
9/17/2014,3796
9/18/2014,3405
