ds,y
23/10/2013,204.600351
24/10/2013,194.4100438
25/10/2013,185.6437876
26/10/2013,179.808218
27/10/2013,194.5461333
28/10/2013,196.2746873
29/10/2013,204.4281742
30/10/2013,197.9005994
31/10/2013,203.2836499
01/11/2013,203.0371098
02/11/2013,204.7928814
03/11/2013,210.2753826
04/11/2013,228.7910389
05/11/2013,243.6416689
06/11/2013,263.209584
07/11/2013,290.1242262
08/11/2013,333.7506565
09/11/2013,331.0511485
10/11/2013,327.5586535
11/11/2013,342.6976929
12/11/2013,354.6454883
13/11/2013,394.5044952
14/11/2013,416.7063033
15/11/2013,408.3987973
16/11/2013,435.7984428
17/11/2013,485.3365769
18/11/2013,657.7785039
19/11/2013,546.8783973
20/11/2013,595.3390996
21/11/2013,720.7644253
22/11/2013,802.9169337
23/11/2013,834.29534
24/11/2013,807.1666955
25/11/2013,816.2433866
26/11/2013,916.0971601
27/11/2013,962.9105609
28/11/2013,1007.387164
29/11/2013,1128.725488
30/11/2013,1119.296715
01/12/2013,964.4857937
02/12/2013,1040.808218
03/12/2013,1053.621027
04/12/2013,1134.932231
05/12/2013,1027.411773
06/12/2013,824.5817103
07/12/2013,703.748376
08/12/2013,783.5733483
09/12/2013,896.0792899
10/12/2013,977.1653673
11/12/2013,875.4640343
12/12/2013,873.324806
13/12/2013,879.1561353
14/12/2013,852.8561205
15/12/2013,864.0616579
16/12/2013,677.8941068
17/12/2013,682.6267727
18/12/2013,526.1209763
19/12/2013,685.525129
20/12/2013,600.2169543
21/12/2013,597.0335025
22/12/2013,615.0130353
23/12/2013,657.9266342
24/12/2013,650.6647452
25/12/2013,678.2901581
26/12/2013,749.996595
27/12/2013,722.5705675
28/12/2013,715.8523631
29/12/2013,727.2712157
30/12/2013,735.7419971
31/12/2013,729.5575829
01/01/2014,752.4045499
02/01/2014,784.9549213
03/01/2014,807.222939
04/01/2014,828.6020626
05/01/2014,902.4873803
06/01/2014,914.4599608
07/01/2014,803.3517962
08/01/2014,820.6900095
09/01/2014,831.3347505
10/01/2014,853.2988548
11/01/2014,889.5558371
12/01/2014,845.1913322
13/01/2014,822.8770122
14/01/2014,815.2936027
15/01/2014,841.0898574
16/01/2014,815.8548003
17/01/2014,792.8295065
18/01/2014,809.7835284
19/01/2014,838.4284747
20/01/2014,828.8852166
21/01/2014,823.8179638
22/01/2014,818.9763863
23/01/2014,810.9224252
24/01/2014,781.042514
25/01/2014,804.4032408
