ds,y
12/02/2015,782.39
13/02/2015,594.89
14/02/2015,314.73
15/02/2015,47.13
16/02/2015,782.03
17/02/2015,734.51
18/02/2015,793.31
19/02/2015,594.19
20/02/2015,499.26
21/02/2015,261.07
22/02/2015,61.84
23/02/2015,805.48
24/02/2015,732.79
25/02/2015,797.14
26/02/2015,626.28
27/02/2015,558.36
28/02/2015,260.54
01/03/2015,77.24
02/03/2015,815.98
03/03/2015,821.34
04/03/2015,784.35
05/03/2015,652.3
06/03/2015,546.67
07/03/2015,289.28
08/03/2015,70.43
09/03/2015,866.99
10/03/2015,723.07
11/03/2015,786.52
12/03/2015,690
13/03/2015,614.97
14/03/2015,216.16
15/03/2015,45.37
16/03/2015,791.58
17/03/2015,786.03
18/03/2015,761.15
19/03/2015,703.55
20/03/2015,608.57
21/03/2015,287.85
22/03/2015,68.38
23/03/2015,845.9
24/03/2015,794.18
25/03/2015,860.72
26/03/2015,772.69
27/03/2015,579.9
28/03/2015,349.58
29/03/2015,52.28
30/03/2015,897.57
31/03/2015,833.87
01/04/2015,653.27
02/04/2015,550.4
03/04/2015,217.96
04/04/2015,237.95
05/04/2015,27.39
06/04/2015,294.18
07/04/2015,602.44
08/04/2015,579.22
09/04/2015,588.55
10/04/2015,546.23
11/04/2015,274.08
12/04/2015,69.41
13/04/2015,790.69
14/04/2015,651.34
15/04/2015,665.58
16/04/2015,695.07
17/04/2015,547.67
18/04/2015,267.08
19/04/2015,71.13
20/04/2015,701.38
21/04/2015,717.22
22/04/2015,697.38
23/04/2015,606.33
24/04/2015,602.05
25/04/2015,369.16
26/04/2015,117.67
27/04/2015,652.76
28/04/2015,655.87
29/04/2015,610.08
30/04/2015,613.97
01/05/2015,465.95
02/05/2015,274.04
03/05/2015,89.67
04/05/2015,259.43
05/05/2015,757.88
06/05/2015,691.11
07/05/2015,576.12
08/05/2015,541.86
09/05/2015,265.49
10/05/2015,139.28
11/05/2015,727.02
12/05/2015,692.56
13/05/2015,644.38
